name,year,frequency
Hurricane,1995,11
Tropical Depression,1995,2
Tropical Storm,1995,8
Hurricane,1996,9
Tropical Depression,1996,0
Tropical Storm,1996,4
Hurricane,1997,3
Tropical Depression,1997,1
Tropical Storm,1997,4
Hurricane,1998,10
Tropical Depression,1998,0
Tropical Storm,1998,4
Hurricane,1999,8
Tropical Depression,1999,4
Tropical Storm,1999,4
Hurricane,2000,8
Tropical Depression,2000,4
Tropical Storm,2000,6
Hurricane,2001,9
Tropical Depression,2001,2
Tropical Storm,2001,6
Hurricane,2002,4
Tropical Depression,2002,2
Tropical Storm,2002,8
Hurricane,2003,7
Tropical Depression,2003,5
Tropical Storm,2003,9
Hurricane,2004,9
Tropical Depression,2004,1
Tropical Storm,2004,5
Hurricane,2005,15
Tropical Depression,2005,2
Tropical Storm,2005,12
Hurricane,2006,5
Tropical Depression,2006,0
Tropical Storm,2006,5
Hurricane,2007,6
Tropical Depression,2007,2
Tropical Storm,2007,8
Hurricane,2008,8
Tropical Depression,2008,1
Tropical Storm,2008,8
Hurricane,2009,3
Tropical Depression,2009,2
Tropical Storm,2009,6
Hurricane,2010,12
Tropical Depression,2010,2
Tropical Storm,2010,7
Hurricane,2011,7
Tropical Depression,2011,1
Tropical Storm,2011,12
Hurricane,2012,10
Tropical Depression,2012,0
Tropical Storm,2012,9
Hurricane,2013,2
Tropical Depression,2013,0
Tropical Storm,2013,12
Hurricane,2014,6
Tropical Depression,2014,1
Tropical Storm,2014,2
Hurricane,2015,4
Tropical Depression,2015,1
Tropical Storm,2015,7
Hurricane,2016,7
Tropical Depression,2016,1
Tropical Storm,2016,8
Hurricane,2017,10
Tropical Depression,2017,1
Tropical Storm,2017,7
Hurricane,2018,8
Tropical Depression,2018,1
Tropical Storm,2018,7
Hurricane,2019,6
Tropical Depression,2019,2
Tropical Storm,2019,10